DATE,CLOSING,WEIGHT,HYBRID_CLOSING,HYBRID_WEIGHT
25/04/16,347.55,75,210.2116935484,0.6048387097
22/04/16,353.8,74,211.1387096774,0.5967741935
21/04/16,354.4,73,208.6387096774,0.5887096774
20/04/16,356.85,72,207.2032258065,0.5806451613
18/04/16,335,71,191.814516129,0.5725806452
13/04/16,332.6,70,187.7580645161,0.564516129
12/04/16,324.15,69,180.3737903226,0.5564516129
11/04/16,331.15,68,181.5983870968,0.5483870968
08/04/16,322.25,67,174.1189516129,0.5403225806
07/04/16,323.95,66,172.425,0.5322580645
06/04/16,328.45,65,172.1713709677,0.5241935484
05/04/16,312.1,64,161.0838709677,0.5161290323
04/04/16,320.2,63,162.6822580645,0.5080645161
01/04/16,317.7,62,158.85,0.5
31/03/16,319.5,61,157.1733870968,0.4919354839
30/03/16,324.4,60,156.9677419355,0.4838709677
29/03/16,303.9,59,144.5975806452,0.4758064516
28/03/16,300.05,58,140.3459677419,0.4677419355
23/03/16,316.6,57,145.5338709677,0.4596774194
22/03/16,309.45,56,139.7516129032,0.4516129032
21/03/16,302.9,55,134.3508064516,0.4435483871
18/03/16,302,54,131.5161290323,0.435483871
17/03/16,295.8,53,126.4306451613,0.4274193548
16/03/16,299.2,52,125.4709677419,0.4193548387
15/03/16,299.8,51,123.3048387097,0.4112903226
14/03/16,296.3,50,119.4758064516,0.4032258065
11/03/16,294.45,49,116.3552419355,0.3951612903
10/03/16,296.15,48,114.6387096774,0.3870967742
09/03/16,295.45,47,111.9850806452,0.3790322581
08/03/16,291.85,46,108.2669354839,0.3709677419
04/03/16,288.35,45,104.6431451613,0.3629032258
03/03/16,286.3,44,101.5903225806,0.3548387097
02/03/16,267.15,43,92.6407258065,0.3467741935
01/03/16,256.9,42,87.014516129,0.3387096774
29/02/16,249.1,41,82.3637096774,0.3306451613
26/02/16,248.4,40,80.1290322581,0.3225806452
25/02/16,248.05,39,78.0157258065,0.314516129
24/02/16,247.85,38,75.9540322581,0.3064516129
23/02/16,253.45,37,75.6262096774,0.2983870968
22/02/16,255.2,36,74.0903225806,0.2903225806
19/02/16,253.25,35,71.4818548387,0.2822580645
